eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed, O2
643, 37, 0, 0, 459, 0, 871, 34.8, 61.36, 0.9242607, 4095
599, 30, 0, 0, 452, 0, 827, 34.15, 61.62, 0.8802483, 4095
478, 11, 0, 0, 459, 0, 862, 34.20, 61.63, 0.9242607, 4095
520, 18, 0, 0, 455, 0, 885, 34.39, 61.18, 0.9242607, 4095
599, 30, 0, 0, 460, 0, 892, 34.36, 61.13, 1.144323, 4095
539, 21, 0, 0, 448, 0, 857, 34.43, 60.58, 0.9242607, 4095
539, 21, 0, 0, 433, 0, 891, 34.47, 60.23, 1.45241, 4095
552, 23, 0, 0, 453, 0, 885, 34.59, 61.12, 0.0, 4095
483, 12, 0, 0, 430, 0, 884, 34.68, 59.6, 0.0, 4095
483, 12, 0, 0, 454, 0, 880, 34.61, 57.43, 0.0, 4095
599, 30, 0, 0, 459, 0, 881, 34.59, 60.3, 0.0, 4095
629, 34, 0, 0, 435, 0, 863, 34.73, 59.40, 0.0, 4095
740, 51, 0, 0, 451, 0, 883, 34.68, 60.25, 0.0, 4095
694, 44, 0, 0, 432, 0, 865, 34.78, 61.42, 0.0, 4095
565, 25, 0, 0, 433, 0, 880, 34.87, 61.91, 1.188335, 4095
417, 2, 0, 0, 420, 0, 882, 34.91, 60.49, 1.056298, 4095
436, 5, 0, 0, 437, 0, 895, 34.60, 58.69, 0.9242607, 4095
493, 14, 0, 0, 428, 0, 865, 34.73, 58.78, 0.9242607, 4095
497, 14, 0, 0, 447, 0, 833, 34.76, 59.22, 0.8362359, 4095
567, 25, 0, 0, 444, 0, 831, 34.73, 59.26, 0.9682731, 4095
631, 35, 0, 0, 446, 0, 868, 34.57, 59.48, 1.144323, 4095
626, 34, 0, 0, 449, 0, 864, 34.73, 59.36, 1.144323, 4095
614, 32, 0, 0, 447, 0, 851, 34.84, 60.21, 0.9682731, 4095
551, 23, 0, 0, 427, 0, 848, 34.73, 59.87, 0.7922234, 4095
539, 21, 0, 0, 421, 0, 880, 34.80, 59.58, 0.0, 4095
591, 29, 0, 0, 431, 0, 879, 34.64, 60.98, 0.0, 4095
672, 41, 0, 0, 449, 0, 859, 34.73, 61.6, 0.0, 4095
872, 71, 0, 0, 438, 0, 843, 34.76, 60.24, 0.0, 4095
810, 62, 0, 0, 435, 0, 848, 34.83, 60.43, 1.716484, 4095
748, 53, 0, 0, 463, 0, 819, 34.87, 59.95, 0.4841365, 4095
832, 65, 0, 0, 461, 0, 865, 34.77, 61.48, 0.8802483, 4095
551, 23, 0, 0, 438, 0, 826, 34.84, 60.36, 0.6601862, 4095
523, 18, 0, 0, 451, 0, 823, 34.81, 60.17, 0.8362359, 4095
584, 28, 0, 0, 446, 0, 865, 34.80, 58.64, 0.748211, 4095
1252, 129, 0, 0, 450, 0, 880, 34.68, 59.38, 0.9242607, 4095
1445, 159, 0, 0, 463, 0, 859, 34.76, 59.87, 1.144323, 4095
1215, 124, 0, 0, 447, 0, 885, 34.77, 60.99, 1.320372, 4095
757, 54, 0, 0, 451, 0, 832, 34.80, 61.94, 0.8362359, 4095
627, 34, 0, 0, 462, 0, 858, 34.77, 60.78, 0.8362359, 4095
674, 41, 0, 0, 447, 0, 837, 34.81, 60.86, 1.892534, 4095
666, 40, 0, 0, 448, 0, 834, 34.91, 60.79, 1.45241, 4095
570, 25, 0, 0, 439, 0, 858, 34.93, 60.68, 0.0, 4095
570, 25, 0, 0, 431, 0, 845, 34.95, 60.59, 0.0, 4095
495, 14, 0, 0, 431, 0, 874, 34.91, 60.30, 0.0, 4095
592, 29, 0, 0, 418, 0, 854, 34.95, 60.94, 0.0, 4095
574, 26, 0, 0, 437, 0, 855, 34.95, 60.87, 0.0, 4095
580, 27, 0, 0, 440, 0, 853, 34.90, 60.67, 0.0, 4095
759, 54, 0, 0, 437, 0, 835, 34.98, 61.81, 0.0, 4095
776, 57, 0, 0, 432, 0, 875, 34.97, 62.0, 1.320372, 4095
560, 24, 0, 0, 442, 0, 820, 34.87, 62.11, 0.748211, 4095
497, 14, 0, 0, 418, 0, 833, 34.97, 61.14, 0.7922234, 4095
523, 18, 0, 0, 433, 0, 875, 34.90, 61.38, 0.9242607, 4095
470, 10, 0, 0, 432, 0, 817, 34.86, 60.61, 0.9242607, 4095
466, 10, 0, 0, 427, 0, 842, 35.1, 59.14, 0.9682731, 4095
565, 25, 0, 0, 432, 0, 865, 34.90, 59.63, 0.9682731, 4095
627, 34, 0, 0, 431, 0, 846, 34.94, 60.0, 1.232347, 4095
443, 6, 0, 0, 455, 0, 831, 34.73, 56.59, 0.8802483, 4095
459, 8, 0, 0, 452, 0, 816, 34.50, 56.8, 2.37667, 4095
580, 27, 0, 0, 455, 0, 820, 34.60, 58.30, 0.0, 4095
553, 23, 0, 0, 445, 0, 804, 34.57, 59.20, 0.0, 4095
537, 20, 0, 0, 452, 0, 832, 34.50, 60.30, 0.0, 4095
578, 27, 0, 0, 464, 0, 838, 34.47, 60.76, 0.0, 4095
560, 24, 0, 0, 464, 0, 842, 34.49, 61.37, 0.9242607, 4095
438, 5, 0, 0, 465, 0, 864, 34.31, 58.15, 0.6601862, 4095
578, 27, 0, 0, 462, 0, 849, 34.16, 59.94, 0.8362359, 4095
578, 27, 0, 0, 481, 0, 812, 34.26, 61.48, 1.056298, 4095
570, 25, 0, 0, 455, 0, 847, 34.25, 61.47, 0.9242607, 4095
