eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
500, 15, 0, 825, 0, 118, 144, 44.25, 34.14, 3.741055
495, 14, 0, 842, 0, 113, 144, 44.29, 34.1, 3.212906
524, 18, 0, 822, 0, 124, 146, 44.39, 33.94, 3.256919
631, 35, 0, 812, 0, 107, 144, 44.57, 34.0, 3.036856
653, 38, 0, 806, 0, 88, 123, 44.54, 34.16, 2.948832
674, 41, 0, 848, 0, 115, 152, 44.49, 34.53, 3.609018
815, 63, 0, 848, 0, 113, 151, 44.52, 34.51, 2.156608
834, 66, 0, 827, 0, 112, 176, 44.63, 34.28, 4.797353
1612, 257, 0, 831, 0, 128, 167, 44.78, 34.23, 0.0
2001, 748, 0, 803, 0, 197, 219, 44.93, 34.34, 0.0
2074, 870, 0, 789, 0, 178, 240, 44.91, 34.32, 0.0
2122, 969, 0, 784, 0, 191, 250, 45.8, 34.43, 0.0
1238, 127, 0, 801, 0, 176, 220, 45.19, 33.76, 0.0
735, 51, 0, 805, 0, 156, 198, 45.21, 33.72, 0.0
763, 55, 0, 816, 0, 150, 191, 45.39, 34.29, 3.476981
772, 56, 0, 797, 0, 145, 184, 45.48, 33.98, 4.049142
597, 30, 0, 805, 0, 147, 183, 45.39, 33.90, 3.65303
602, 30, 0, 810, 0, 131, 176, 45.44, 33.23, 2.904819
498, 14, 0, 820, 0, 137, 176, 45.38, 33.56, 3.697043
1441, 158, 0, 807, 0, 141, 182, 45.46, 33.70, 3.036856
591, 29, 0, 805, 0, 133, 178, 45.45, 32.89, 3.697043
791, 59, 0, 795, 0, 133, 167, 45.59, 32.64, 3.609018
1262, 131, 0, 784, 0, 151, 176, 45.52, 32.58, 3.124882
1019, 94, 0, 784, 0, 143, 179, 45.59, 32.62, 3.344944
1511, 178, 0, 768, 0, 146, 192, 45.78, 32.70, 2.816794
1107, 107, 0, 757, 0, 158, 195, 45.86, 32.51, 3.565006
851, 68, 0, 761, 0, 140, 180, 45.76, 32.52, 2.420682
1389, 150, 0, 752, 0, 143, 183, 45.94, 32.90, 3.476981
737, 51, 0, 768, 0, 141, 182, 46.3, 32.73, 4.313217
618, 33, 0, 768, 0, 141, 174, 46.10, 32.48, 3.476981
549, 22, 0, 768, 0, 139, 175, 46.4, 32.41, 2.948832
865, 70, 0, 762, 0, 143, 178, 46.7, 32.78, 3.300931
1299, 136, 0, 752, 0, 145, 176, 46.16, 33.6, 4.049142
1198, 121, 0, 772, 0, 143, 176, 46.11, 32.42, 7.570135
1262, 131, 0, 762, 0, 142, 176, 46.26, 32.38, 13.90792
817, 63, 0, 768, 0, 133, 166, 46.28, 31.84, 0.0
1316, 139, 0, 791, 0, 144, 176, 46.18, 32.19, 3.609018
618, 33, 0, 789, 0, 127, 174, 45.96, 31.98, 3.388956
882, 73, 0, 813, 0, 144, 177, 46.3, 31.51, 2.684757
588, 28, 0, 790, 0, 125, 176, 46.10, 31.53, 3.961117
478, 11, 0, 784, 0, 124, 166, 45.90, 31.18, 3.256919
600, 30, 0, 773, 0, 130, 167, 46.10, 31.92, 3.609018
748, 53, 0, 755, 0, 121, 161, 46.18, 32.66, 5.633589
665, 40, 0, 750, 0, 125, 164, 46.20, 32.52, 2.420682
501, 15, 0, 757, 0, 112, 160, 46.13, 31.56, 0.0
501, 15, 0, 786, 0, 116, 155, 46.10, 31.65, 1.892534
560, 24, 0, 795, 0, 118, 155, 46.7, 31.77, 2.37667
627, 34, 0, 792, 0, 132, 149, 46.9, 31.66, 2.244633
612, 32, 0, 759, 0, 113, 146, 46.24, 31.78, 3.300931
594, 29, 0, 766, 0, 118, 156, 46.21, 31.66, 2.948832
643, 37, 0, 743, 0, 119, 154, 46.31, 31.80, 3.741055
675, 41, 0, 743, 0, 118, 148, 46.24, 31.88, 2.904819
524, 18, 0, 757, 0, 112, 146, 46.26, 31.65, 3.476981
935, 81, 0, 747, 0, 113, 162, 46.9, 31.47, 3.82908
581, 27, 0, 795, 0, 131, 155, 46.10, 31.54, 3.344944
418, 2, 0, 805, 0, 145, 177, 45.96, 31.76, 3.432968
400, 0, 0, 815, 0, 112, 161, 45.99, 31.58, 3.344944
1081, 103, 0, 786, 0, 117, 162, 45.97, 32.25, 3.212906
520, 18, 0, 749, 0, 119, 172, 46.4, 31.88, 2.904819
857, 69, 0, 759, 0, 113, 155, 46.13, 31.97, 2.860807
774, 56, 0, 743, 0, 117, 163, 46.14, 31.95, 3.344944
1788, 436, 0, 742, 0, 133, 174, 46.24, 31.93, 3.697043
